	BACE1	UBQLN1	MS4A6A	ABI3	ZCWPW1	MS4A4A	FRMD4A	IGF1R	MAPT	TP53INP1	SLC30A6	GSK3B	INSR	APH1B	MAN2A1	PSEN1	MTHFR	SLC30A4	ACE	TFCP2	SORCS1	ALPK2	SOAT1	NOS3	PPP1R37	GLIS3	SRRM4	CST3	SORL1	APOC2	SCIMP	ENTPD7	CELF1	ARID5B	PGBD1	HFE	CD2AP	CTNNA3	TFAM	BDNF	CYP19A1	PM20D1	IGF1	CHRNB2	EIF2AK3	EPHA1	CLNK	NEDD9	SLC24A4	CR1	GAPDH
RPL24	0.1836	0.3823	0.2105	0.0088	0.1636	0.0324	0.1534	0.1431	0.3276	0.2062	0.1082	0.2705	0.1695	0.4491	0.3136	0.3645	0.2432	0.4017	0.2284	0.2399	0.1351	0.2107	0.202	0.2079	0.1805	0.1506	-0.0928	0.036	0.1733	0.087	0.0505	0.0967	0.0476	0.1462	0.2039	0.1586	0.1194	0.1248	0.0782	0.1478	0.1396	0.0882	0.0676	0.1657	0.1562	0.0154	-0.019	0.1409	0.1055	0.0177	0.3549
HNRNPC	0.2269	0.4653	0.2432	-0.0554	0.2498	-0.0512	0.2967	0.3249	0.2597	0.3175	0.2994	0.2957	0.3957	0.6195	0.4896	0.4201	0.3072	0.5787	0.1537	0.5182	0.3248	0.0935	0.4579	-0.0183	0.0364	0.3316	-0.1669	-0.0329	0.0577	0.0209	0.0223	0.2148	-0.0063	0.0564	0.2786	0.0861	0.0011	0.2875	0.0791	0.241	-0.0499	0.1757	0.0194	0.0496	-0.0234	-0.0235	-0.1553	0.0345	0.3123	0.1371	0.0365
RPS27A	0.272	0.206	0.2707	0.1826	0.3204	0.2096	0.0843	0.3128	0.1184	0.4143	0.294	0.0919	0.3853	0.4562	0.4374	0.4798	0.336	0.4772	0.2829	0.411	0.0628	0.3055	0.3732	0.2586	0.0593	0.3091	-0.2988	0.2525	0.1672	0.234	0.2397	0.1803	0.2369	0.2919	0.1667	0.2177	0.2021	0.391	0.2489	0.1364	0.2929	0.2839	0.1927	0.1204	0.2474	0.1828	0.0846	0.2388	0.2622	0.1588	0.1423
FAU	0.0352	-0.0409	0.2542	0.2049	0.1819	0.0575	-0.072	-0.0698	-0.0233	0.265	0.0795	-0.1574	0.0673	0.3736	0.2383	0.2945	0.011	0.2326	0.174	0.187	-0.0502	0.1312	0.235	0.1509	0.0149	0.1489	-0.4702	-0.0429	-0.2015	0.1844	0.1294	0.1157	0.0335	0.2314	0.083	0.0807	0.2448	0.151	-0.0943	0.1287	0.1396	0.1988	0.1602	0.0209	0.1362	0.0809	0.1388	0.1249	0.0711	0.1663	-0.1792
TARDBP	0.1689	0.2721	0.1079	0.0281	0.2986	-0.0307	0.1939	0.2137	0.2412	0.2568	0.0935	0.1256	0.3205	0.4243	0.3783	0.2924	0.1346	0.3856	0.0999	0.2757	0.0598	0.1189	0.3677	0.097	0.0859	0.1463	-0.2781	-0.0666	0.0187	0.0366	0.0407	0.0563	-0.0006	0.0538	0.2001	0.0484	0.16	0.233	0.0114	0.1173	-0.005	0.0656	0.0627	0.0485	0.0239	-0.0256	0.0495	0.0282	0.1561	0.1343	-0.1833
CFL1	0.1508	0.0778	0.1007	0.274	0.1392	0.1826	0.0482	-0.0514	0.3222	0.0215	-0.1486	0.1495	-0.0195	-0.0144	-0.0151	0.099	0.1375	0.1134	0.2395	0.0614	0.0566	0.2707	-0.0376	0.3696	0.36	-0.0692	0.0729	0.117	0.249	0.2063	0.2329	-0.0143	0.3102	0.2955	0.135	0.1347	0.2668	0.0413	0.0932	0.0143	0.345	0.0191	0.1013	0.3174	0.2803	0.2014	0.2032	0.2117	-0.0045	-0.0102	0.1952
RPL18	0.1803	0.1407	0.2943	0.1409	0.1361	0.0618	0.0332	0.038	0.188	0.2161	0.1165	0.0319	0.1519	0.3277	0.304	0.3629	0.1569	0.1879	0.1655	0.1293	-0.019	0.1981	0.1297	0.1724	0.1421	0.1942	-0.1665	0.0703	0.0833	0.1166	0.056	0.054	0.0534	0.1307	0.1088	0.1101	0.1695	0.0758	0.0686	0.1046	0.1151	0.094	0.1013	0.116	0.1194	0.0366	0.0536	0.2016	0.0295	0.0695	0.4059
EIF3F	0.2062	0.338	0.2777	0.0038	0.263	0.1062	0.1285	0.1583	0.2093	0.3527	0.2224	0.1893	0.2213	0.59	0.4144	0.4498	0.2408	0.4703	0.2357	0.365	0.1519	0.2152	0.3402	0.156	0.1196	0.2796	-0.2448	0.0341	0.0416	0.1523	0.1032	0.1747	0.0901	0.1437	0.2066	0.114	0.1077	0.2163	0.1048	0.1612	0.1153	0.1837	0.0924	0.1242	0.1151	0.052	-0.0321	0.1449	0.2113	0.0877	0.1288
RPS5	0.2919	0.2007	0.4586	0.1852	0.1322	0.2305	-0.0999	0.2171	0.2051	0.396	0.2331	-0.0073	0.3525	0.4685	0.5221	0.5494	0.3231	0.3928	0.3448	0.2179	-0.0363	0.2532	0.289	0.2075	0.0206	0.3825	-0.2599	0.1896	0.2275	0.1779	0.1053	0.1083	0.1558	0.2138	0.0341	0.25	0.1602	0.3607	0.1119	0.1124	0.2189	0.2727	0.2199	0.0533	0.1985	0.1165	0.0386	0.2457	0.1745	0.2038	0.3995
RPL27	-0.1868	-0.1171	0.126	0.2294	0.1908	-0.0477	0.1018	-0.0661	-0.1474	0.1359	-0.0114	-0.166	-0.0432	0.2214	0.0023	-0.0082	-0.0002	0.1196	0.0268	0.13	-0.0115	0.0927	0.1716	0.0808	0.0309	0.0063	-0.3644	0.0172	-0.176	0.1065	0.0682	0.0814	-0.0007	0.1323	0.0965	-0.0561	0.1921	0.0525	-0.1741	0.0862	0.0946	0.1087	0.0981	-0.049	0.1387	0.0894	0.0481	0.0925	0.0045	0.0742	-0.3668
RPL34	-0.0607	-0.0098	0.2238	0.1925	0.1693	0.0176	0.0691	0.0483	-0.079	0.2331	0.0957	-0.0793	0.1418	0.2962	0.1714	0.2002	0.0805	0.2646	0.0941	0.1889	0.0099	0.1442	0.2461	0.1243	-0.0253	0.1743	-0.3328	-0.0286	-0.0899	0.1265	0.1614	0.1262	0.0576	0.1762	0.1049	0.0442	0.226	0.2031	-0.1022	0.1348	0.1227	0.2115	0.1759	-0.0408	0.1346	0.1069	0.0374	0.1087	0.1422	0.1284	-0.2474
NARS	0.0598	0.4828	-0.2565	-0.1884	0.1761	-0.2553	0.5804	0.139	0.3915	-0.1806	-0.0547	0.6051	0.0544	0.1542	-0.0364	-0.1043	0.0504	0.2463	-0.1718	0.2913	0.4953	-0.1216	0.0637	-0.0912	0.1808	-0.1735	0.2989	-0.1632	-0.0088	-0.1867	-0.2039	0.0833	-0.1677	-0.1341	0.3714	-0.2318	-0.1316	-0.1759	-0.089	0.0314	-0.2438	-0.2354	-0.3052	0.1458	-0.0992	-0.2039	-0.2739	-0.2308	0.097	-0.1888	0.0039
STARD7	0.1798	0.3513	-0.0081	-0.0673	0.3302	-0.0548	0.2131	0.1288	0.2636	0.2352	0.1754	0.2577	0.3266	0.4189	0.3602	0.359	0.1687	0.4456	0.0906	0.3073	0.169	0.0384	0.2936	0.0669	0.0429	0.1332	-0.1366	-0.1117	0.0007	0.0079	-0.0045	0.1421	-0.0948	0.0149	0.2466	-0.0702	0.016	0.191	-0.0245	0.0985	-0.0635	-0.066	-0.0547	0.0991	0.0088	-0.1034	-0.0709	-0.0456	0.2614	-0.0292	-0.0575
RPL19	0.1397	-0.0183	0.3972	0.1887	0.0772	0.0493	-0.0657	0.0312	-0.0036	0.2622	0.0646	-0.1783	0.253	0.4176	0.3928	0.394	0.1331	0.248	0.1729	0.1895	-0.1201	0.1286	0.2797	0.1257	-0.0683	0.2536	-0.5061	-0.0272	-0.0969	0.1244	0.1178	0.0568	-0.0115	0.1734	0.0438	0.0953	0.2683	0.2753	-0.0184	0.0676	0.0941	0.2331	0.1407	-0.065	0.1095	0.0446	0.1161	0.1721	0.077	0.1684	0.0142
SLC25A3	0.0856	0.5232	-0.3859	-0.324	0.0425	-0.2692	0.6149	0.1442	0.4109	-0.3076	-0.0924	0.6975	0.0074	0.0781	-0.1322	-0.1613	0.008	0.1699	-0.2155	0.2102	0.5331	-0.2299	-0.0497	-0.1507	0.1691	-0.264	0.4271	-0.2117	-0.0385	-0.2397	-0.314	0.0059	-0.2852	-0.2575	0.2978	-0.2944	-0.2679	-0.2597	-0.0426	-0.0564	-0.389	-0.3569	-0.4023	0.2094	-0.1988	-0.3532	-0.2691	-0.2798	0.0505	-0.2708	0.1486
RPL9	0.1609	0.2295	0.1946	0.1284	0.1933	0.0578	0.1735	0.1259	0.1864	0.1784	0.1266	0.1884	0.1427	0.3679	0.2512	0.338	0.1986	0.3209	0.1869	0.2806	0.1539	0.1945	0.1926	0.1694	0.1143	0.139	-0.1623	0.0623	0.0055	0.1426	0.0882	0.0739	0.0466	0.1784	0.1648	0.075	0.1314	0.1488	0.091	0.1424	0.1032	0.1346	0.0607	0.125	0.1235	0.0527	0.0313	0.1652	0.11	0.0794	0.2245
RPL6	0.2257	0.3888	0.2224	0.0552	0.0549	0.01	0.1583	0.2149	0.3502	0.1404	0.1171	0.285	0.22	0.2776	0.3003	0.2847	0.2024	0.3072	0.126	0.1838	0.0943	0.1775	0.1207	0.1217	0.1573	0.1404	0.0244	0.1003	0.2903	-0.0228	-0.0071	0.0242	0.0558	0.116	0.1452	0.1512	0.0525	0.1471	0.0946	0.0689	0.0719	0.0883	0.0406	0.0944	0.1409	0.0234	-0.085	0.0993	0.1597	0.0372	0.4724
CTDNEP1	-0.0559	-0.1288	-0.0014	0.1766	0.0123	0.0563	0.0399	-0.0533	0.1533	-0.0241	-0.1473	-0.0632	-0.0073	-0.0745	-0.0939	-0.0389	0.0539	-0.0631	0.0465	-0.1187	-0.0162	0.1298	-0.0925	0.0462	0.2905	-0.0088	0.0482	0.014	0.0142	0.0361	0.0569	-0.0437	0.0562	0.1087	-0.0373	-0.0968	0.2741	-0.0346	-0.0756	-0.0966	0.0495	0.0088	0.1255	0.0755	0.0196	0.0523	0.1602	0.1001	-0.0095	-0.033	-0.0528
RPL10A	0.192	0.2976	0.2675	0.069	0.1984	0.0135	0.1942	0.0545	0.1977	0.2487	0.1444	0.1853	0.1336	0.5136	0.3129	0.401	0.1314	0.3575	0.1798	0.3132	0.1175	0.1357	0.2804	0.0806	0.0619	0.2146	-0.2807	-0.0497	-0.0679	0.1245	0.035	0.0923	-0.0327	0.0795	0.1673	0.0151	0.1387	0.1765	0.002	0.182	-0.006	0.0881	0.0554	0.0865	0.0605	-0.0214	-0.0092	0.1278	0.1606	0.0839	0.0623
CBX3	0.0537	0.2679	-0.0963	0.0372	0.3155	-0.0375	0.2655	0.095	0.1943	0.1323	0.0742	0.2666	0.1396	0.267	0.1187	0.1035	0.0365	0.3242	0.0213	0.3471	0.2362	0.0732	0.2794	0.1956	0.1099	-0.0378	-0.0716	-0.033	0.0378	0.0861	0.1068	0.2332	0.0884	0.1654	0.3984	0.0265	0.0344	0.0706	0.0655	0.1195	0.1224	0.0377	-0.0605	0.2086	0.0871	-0.0113	-0.0077	-0.0585	0.117	0.0625	-0.1796
PSMB2	0.0684	0.1565	0.2039	0.0981	0.2813	0.0674	0.1206	0.1752	0.0789	0.2573	0.2055	0.088	0.2295	0.3667	0.2215	0.2216	0.0283	0.3887	0.1982	0.3668	0.1987	0.0543	0.3857	0.0461	-0.0467	0.1625	-0.2888	0.111	-0.1583	0.1761	0.0823	0.2104	0.0579	0.1039	0.1524	0.0521	-0.078	0.1511	0.054	0.207	0.0083	0.1667	0.0543	0.0421	0.0378	0.0481	0.0704	0.0116	0.1461	0.1467	-0.1788
KHDRBS1	0.3348	0.4748	0.0338	-0.1299	0.2756	-0.0193	0.2884	0.0288	0.2465	0.2452	0.2271	0.4228	0.101	0.5101	0.3562	0.4166	0.1119	0.4829	0.1078	0.4889	0.2848	0.089	0.2416	0.0587	0.0937	0.102	-0.0775	-0.0623	0.0322	0.0318	0.0696	0.1685	0.0322	0.0391	0.3674	0.0572	-0.0278	0.1864	0.0253	0.2556	-0.0023	0.0182	-0.0593	0.1631	0.0461	-0.039	-0.1383	-0.0222	0.1877	0.0263	0.0945
ERH	0.149	0.2587	-0.0332	-0.089	0.1035	-0.2205	0.4462	0.231	0.2673	0.0152	0.0096	0.3353	0.167	0.2734	0.1746	0.0888	0.2187	0.25	-0.046	0.3193	0.3612	-0.0936	0.0488	-0.058	0.0198	0.0649	0.1256	-0.0144	0.0718	-0.1174	-0.207	0.006	-0.169	-0.1447	0.2038	-0.1437	-0.0593	0.0709	-0.049	-0.0369	-0.2204	-0.0603	-0.2677	0.0011	-0.0959	-0.2111	-0.2687	-0.0857	0.1301	-0.0984	0.1676
ABCF1	0.3571	0.4711	0.0048	-0.0582	0.2861	-0.0166	0.3359	0.1918	0.4402	0.1934	0.1466	0.4493	0.3031	0.4526	0.3539	0.4206	0.235	0.4887	0.216	0.4279	0.3217	0.0505	0.2811	0.1253	0.179	0.0893	-0.0289	0.0149	0.087	0.0571	0.0128	0.1494	-0.008	0.066	0.3582	0.0157	0.0161	0.1315	0.1438	0.1296	-0.0304	-0.043	-0.0617	0.2361	0.0172	-0.1306	-0.0249	0.0115	0.1981	-0.0116	0.225
DAD1	0.3299	0.2544	0.2391	0.0143	0.1312	-0.0054	0.058	0.2166	0.1676	0.2948	0.2006	0.0503	0.4225	0.4833	0.5875	0.4667	0.2407	0.3993	0.1311	0.2935	-0.0161	0.0042	0.2907	-0.0042	-0.1129	0.3021	-0.2824	0.0115	0.1447	-0.0012	-0.0675	0.0418	-0.0625	-0.0179	0.0568	0.0727	0.051	0.4222	-0.0385	0.0035	-0.072	0.1082	-0.0143	-0.0701	0.0161	-0.1064	-0.1393	0.0177	0.2159	0.0904	0.1293
YY1	0.2137	0.5269	-0.0185	-0.1407	0.2776	-0.1444	0.4706	0.4374	0.4353	0.1537	0.1156	0.4615	0.4123	0.4396	0.3507	0.2093	0.3307	0.5311	0.034	0.3889	0.3668	-0.0457	0.3493	-0.0413	0.1127	0.1512	0.0684	-0.0249	0.2661	-0.1551	-0.1602	0.1083	-0.1225	-0.091	0.2567	-0.0596	-0.0637	0.1712	-0.0567	0.0735	-0.1825	-0.0948	-0.1927	0.0215	-0.1113	-0.1745	-0.2282	-0.1006	0.2654	-0.0221	0.0395
JTB	0.2578	0.5089	0.2578	-0.042	0.2231	0.0791	0.1779	0.2362	0.43	0.2225	0.1611	0.351	0.2982	0.4856	0.447	0.4567	0.2886	0.4976	0.2609	0.2712	0.1686	0.1191	0.3092	0.0947	0.1812	0.1819	-0.1081	0.0355	0.1075	0.0675	0.0193	0.066	-0.0138	0.0502	0.1868	0.1042	0.0492	0.1489	0.1083	0.1051	0.0235	0.0502	0.0128	0.1785	0.1162	-0.0244	-0.0807	0.0846	0.2124	0.01	0.3048
KAT7	0.0482	0.2595	-0.1852	-0.0978	-0.0002	-0.077	0.431	-0.0025	0.2905	-0.1613	0.0083	0.4274	0.0029	0.0184	-0.0521	0.0197	0.0049	0.0641	-0.0406	0.1868	0.3651	-0.1182	-0.0603	-0.0654	0.129	-0.0723	0.2293	-0.1409	-0.1854	-0.0292	-0.1257	0.0307	-0.1941	-0.1682	0.2439	-0.2092	-0.0926	-0.1435	-0.0177	0.0793	-0.2352	-0.1253	-0.1621	0.2387	-0.1259	-0.2241	-0.1115	-0.1334	0.0507	-0.1584	0.0573
ZNF146	0.1316	-0.0355	0.0819	-0.0039	0.2029	-0.1037	0.0015	0.2549	-0.0752	0.2243	0.1237	-0.1468	0.3937	0.35	0.3907	0.2279	0.1725	0.2972	0.0545	0.2852	-0.0263	0.0466	0.3549	-0.0046	-0.177	0.117	-0.3707	-0.0242	-0.0435	0.0473	0.0745	0.1313	-0.0274	0.0861	0.0891	0.108	0.1313	0.3717	0.082	0.0156	-0.001	0.2132	0.0399	-0.2267	-0.0666	0.0168	0.0552	0.0206	0.0857	0.1961	-0.2382
SART1	0.1517	0.0696	0.1893	0.1648	0.1753	0.2484	-0.0227	0.019	0.2087	0.2294	0.0337	0.0536	0.1669	0.2571	0.168	0.2969	0.2082	0.2594	0.2809	0.1123	0.0544	0.3224	0.164	0.3437	0.2226	0.1674	-0.0946	0.0192	0.1797	0.2166	0.2195	0.0877	0.2374	0.2787	0.1354	0.1839	0.3617	0.1446	0.0439	0.1298	0.2848	0.1498	0.2305	0.1822	0.1513	0.1367	0.1619	0.2153	0.0864	0.0758	0.071
ILF2	0.3983	0.643	0.0629	-0.1801	0.1576	-0.1032	0.3664	0.1722	0.4695	0.0772	0.18	0.5751	0.2412	0.3978	0.3617	0.3736	0.1692	0.3667	0.0425	0.3136	0.2954	0.0097	0.114	-0.0329	0.1915	0.1055	0.171	-0.103	0.143	-0.1114	-0.1193	0.0602	-0.1129	-0.0978	0.2996	-0.0377	-0.0954	0.03	0.0635	0.1178	-0.1779	-0.1582	-0.2109	0.206	-0.0587	-0.1901	-0.2701	-0.0515	0.1617	-0.1019	0.4994
TAF10	0.0053	-0.2437	0.2667	0.3314	0.1285	0.2486	-0.1365	0.0347	-0.0381	0.3171	0.0388	-0.2851	0.1709	0.26	0.2029	0.2489	0.0638	0.1165	0.2761	0.1223	-0.1494	0.2349	0.1665	0.1677	-0.0346	0.1682	-0.4161	0.2367	-0.1232	0.2082	0.1129	0.0751	0.1602	0.2275	-0.081	0.1036	0.2677	0.1896	0.0039	-0.0456	0.2049	0.3143	0.2609	0.0263	0.193	0.1882	0.1917	0.1805	0.1057	0.2206	-0.0971
C1D	0.122	0.5047	-0.0986	-0.2553	0.2525	-0.095	0.4225	0.1515	0.2237	0.0501	0.1889	0.498	0.0626	0.3157	0.1242	0.1463	0.1218	0.3211	-0.0332	0.3763	0.322	-0.0247	0.1976	-0.0292	0.1137	-0.0312	0.1136	-0.1001	-0.0184	0.0097	-0.0235	0.1479	-0.0812	-0.0806	0.3302	-0.0358	-0.1525	0.0116	0.1023	0.1679	-0.135	-0.0875	-0.1867	0.1858	-0.0655	-0.1306	-0.1839	-0.0672	0.1491	-0.0888	0.0254
NONO	0.1592	0.2494	0.0839	0.0355	0.1046	-0.037	0.2853	0.1188	0.3775	0.076	-0.0048	0.3085	0.1764	0.2378	0.1447	0.1825	0.2777	0.2276	0.0367	0.2328	0.2352	0.0655	0.031	0.0684	0.2496	0.1712	0.0823	-0.0643	0.0946	-0.0324	-0.0319	0.0561	-0.0346	0.0543	0.2253	-0.1027	0.0995	0.0332	-0.0027	0.0552	-0.0372	-0.0553	-0.0459	0.1365	0.0134	-0.0691	-0.0921	0.0747	0.194	-0.0584	0.1505
RHOA	0.3971	0.2197	0.4835	0.1455	0.0857	0.3111	-0.2274	0.2649	0.2193	0.4337	0.3265	-0.0109	0.411	0.3703	0.582	0.578	0.3055	0.3229	0.325	0.2333	-0.1602	0.271	0.2538	0.1997	-0.0328	0.4578	-0.1665	0.2626	0.3633	0.207	0.2305	0.124	0.2812	0.2439	-0.0141	0.4354	0.0923	0.429	0.2838	0.1174	0.2801	0.363	0.2705	0.0819	0.171	0.2365	0.0916	0.2803	0.2238	0.2725	0.4994
RNPS1	-0.058	0.2258	-0.4412	-0.09	0.0396	-0.3526	0.5485	-0.0295	0.3348	-0.3606	-0.2354	0.442	-0.2136	-0.1635	-0.2969	-0.3598	-0.0552	-0.0798	-0.3095	0.0182	0.3373	-0.1433	-0.266	-0.0985	0.352	-0.3514	0.4905	-0.1468	0.0417	-0.2476	-0.2152	-0.0848	-0.1463	-0.1687	0.2427	-0.2771	-0.1057	-0.326	-0.1681	0.0083	-0.2422	-0.342	-0.2779	0.1241	-0.1691	-0.2068	-0.228	-0.1949	-0.1298	-0.2613	-0.0023
RPS24	0.1082	0.2112	0.1939	0.1343	0.0833	-0.0048	0.2107	0.12	0.2394	0.186	0.1047	0.1685	0.1554	0.2518	0.1962	0.2274	0.2075	0.2273	0.0815	0.1951	0.1023	0.1637	0.0571	0.1539	0.1845	0.1855	0.0261	0.0778	0.2055	0.0497	0.0412	0.029	0.062	0.1076	0.1747	0.0537	0.1362	0.1406	-0.0068	0.1021	0.0961	0.0473	0.0473	0.0673	0.0867	0.0488	-0.0642	0.1048	0.1715	0.0356	0.2277
RPL30	0.0623	-0.1321	0.4117	0.291	0.128	0.1999	-0.2073	0.0356	-0.1186	0.425	0.1803	-0.3552	0.1915	0.3233	0.3901	0.3741	0.1342	0.172	0.1943	0.1392	-0.2916	0.2489	0.2108	0.1697	-0.0766	0.3096	-0.4826	0.1854	0.0433	0.2035	0.1834	0.0917	0.1698	0.2584	-0.0805	0.211	0.2672	0.4168	-0.0048	0.0582	0.2623	0.3567	0.3185	-0.0968	0.2408	0.2361	0.1207	0.2659	0.1236	0.2665	-0.075
NPM1	0.2778	0.323	0.2452	0.039	0.0491	0.0527	0.1516	0.1724	0.2283	0.2085	0.2546	0.2408	0.2149	0.3064	0.3537	0.3855	0.2695	0.2983	0.1162	0.3173	0.1709	0.1247	0.1334	0.0579	0.0467	0.3475	0.0395	0.045	0.2037	0.0975	0.1522	0.114	0.1189	0.1559	0.1431	0.1554	0.0294	0.2861	0.1384	0.2363	0.0873	0.1615	0.0902	0.1003	0.0629	0.0621	-0.112	0.1614	0.2194	0.1122	0.3242
